theta,speed
-124.400000, 0
96.384000, -42
97.056000, -84
95.136000, -45
92.688000, 51
89.808000, 189
86.704000, 355
83.504000, 538
80.224000, 732
76.896000, 933
73.584000, 1137
70.320000, 1341
67.120000, 1543
63.952000, 1743
60.880000, 1939
57.904000, 2130
55.040000, 2315
52.304000, 2493
49.712000, 2663
47.248000, 2825
44.976000, 2977
42.768000, 3122
40.768000, 3257
38.960000, 3381
37.232000, 3497
35.696000, 3603
34.256000, 3701
33.008000, 3789
31.824000, 3870
30.784000, 3943
29.904000, 4007
29.072000, 4065
28.400000, 4115
27.792000, 4159
27.312000, 4196
26.848000, 4229
26.576000, 4254
26.368000, 4273
26.224000, 4287
26.192000, 4295
26.256000, 4297
26.288000, 4297
